Date,ticker,ret_1m,ret_3m,ma_gap,momentum,volatility,relative_strength,ret_6m,ret_12m,drawdown,shock_count,defensive_rs
2014-12-24,153130,0.001318,0.005489,0.002106,0.006581,0.001175,0.010048,0.012935,0.026312,0.0,0,0.0
2014-12-26,153130,0.00122,0.005341,0.002023,0.006499,0.001149,0.006589,0.012935,0.026212,0.0,0,0.0
2014-12-29,153130,0.001204,0.005324,0.002073,0.006498,0.00118,0.01623,0.012967,0.026295,0.0,0,0.0
2014-12-30,153130,0.001305,0.005376,0.002145,0.006533,0.001217,0.025628,0.012919,0.026349,0.0,0,0.0
2015-01-02,153130,0.001508,0.005579,0.002363,0.00677,0.001461,0.015269,0.013222,0.026507,0.0,0,0.0
2015-01-05,153130,0.001558,0.005285,0.002332,0.006672,0.001438,0.016721,0.013173,0.026458,0.0,0,0.0
2015-01-06,153130,0.001758,0.005289,0.002449,0.006741,0.001496,0.036405,0.013176,0.026563,0.0,0,0.0
2015-01-07,153130,0.001859,0.005341,0.002515,0.006776,0.001506,0.044617,0.013127,0.026667,0.0,0,0.0
2015-01-08,153130,0.001961,0.005394,0.00258,0.006811,0.001521,0.033075,0.01308,0.026671,0.0,0,0.0
2015-01-09,153130,0.001962,0.005395,0.002592,0.006796,0.00123,0.0207,0.013031,0.026445,0.0,0,0.0
2015-01-12,153130,0.002259,0.005447,0.002655,0.006963,0.00124,0.020265,0.013182,0.026445,0.0,0,0.0
2015-01-13,153130,0.002261,0.005499,0.00267,0.006998,0.001232,0.001257,0.013234,0.026444,0.0,0,0.0
2015-01-14,153130,0.002215,0.005599,0.002684,0.007,0.001214,-0.006115,0.013185,0.026496,0.0,0,0.0
2015-01-15,153130,0.002516,0.005803,0.002944,0.007219,0.001483,-0.00763,0.013339,0.026649,0.0,0,0.0
2015-01-16,153130,0.002318,0.005456,0.002757,0.006938,0.001627,0.006578,0.013038,0.026342,-0.0001,0,0.0
2015-01-19,153130,0.002318,0.005407,0.002671,0.006888,0.001673,-0.01117,0.012938,0.026188,-0.0001,0,0.0
2015-01-20,153130,0.002272,0.005409,0.002686,0.006907,0.001623,-0.023564,0.013039,0.026188,0.0,0,0.0
2015-01-21,153130,0.002322,0.005361,0.00265,0.006891,0.001623,-0.026613,0.01299,0.026188,0.0,0,0.0
2015-01-22,153130,0.002373,0.005412,0.002666,0.006826,0.001568,-0.014206,0.012692,0.026239,0.0,0,0.0
2015-01-23,153130,0.002423,0.005315,0.00263,0.006777,0.001582,-0.011817,0.012593,0.02629,0.0,0,0.0
2015-01-26,153130,0.002377,0.005366,0.002644,0.006763,0.001578,-0.012474,0.012545,0.026239,0.0,0,0.0
2015-01-27,153130,0.00223,0.005219,0.002562,0.006648,0.001578,-0.016985,0.012495,0.026086,0.0,0,0.0
2015-01-28,153130,0.00223,0.005268,0.00248,0.006614,0.001625,-0.016762,0.012345,0.026034,0.0,0,0.0
2015-01-29,153130,0.0023,0.00537,0.002597,0.006673,0.001652,-0.015966,0.012348,0.026188,0.0,0,0.0
2015-01-30,153130,0.002199,0.005174,0.002564,0.006574,0.001497,-0.025567,0.012348,0.026188,0.0,0,0.0
2015-02-02,153130,0.001949,0.005225,0.002534,0.006474,0.001497,-0.021105,0.012249,0.026188,0.0,0,0.0
