Date,069500_return,114260_return,153130_return,069500_ma_pos,114260_ma_pos,153130_ma_pos,069500_momentum,114260_momentum,153130_momentum,069500_vol,114260_vol,153130_vol,069500_rs,114260_rs,153130_rs
2019-09-05,-4.868798716683401,10.0,8.081842746429242,-1.512841864022937,4.731150419857306,1.960734031631645,-1.684055632164166,2.045501130957045,-2.017996207849869,-1.166958644355401,6.451258519498774,-4.007502257473737,,4.727181607186012,4.296284503615278
2019-09-06,-4.853652141149709,10.0,9.547527610230233,-2.001856577464116,5.190813085072049,2.988244211737812,-2.19743457546716,2.599279040380144,-0.9077367370770208,-1.168628164766093,6.388909657396451,-4.055228617943001,,5.683400058243278,5.241329689854986
2019-09-09,-4.931759970354197,6.916617903590028,10.0,-2.922857810097276,3.437751566793075,4.741415900850738,-2.555474030659238,0.6313593795171681,0.1965232545598687,-1.093487756862562,6.366895819841824,-3.009360955341907,,5.879959791296479,5.551723311866029
2019-09-10,-5.149342103371018,7.945407686876185,9.221799176202172,-3.357696362205159,4.157065127966492,3.392365073879188,-2.518428744216976,1.293233535818459,-0.727781399768475,-1.083330104230552,6.147871419293312,-1.699370261664037,,5.54035808069287,5.272237247078937
2019-09-11,-6.729463320350002,9.071489891085537,10.0,-4.145427642545854,4.832190652375351,5.128998280823078,-3.506977021741498,2.475663587766095,0.8478123901855743,-2.138080283949918,5.819330847516905,-1.174051221625593,,6.072657242151099,5.768058266284582
2019-09-16,-6.317609152716047,10.0,10.0,-4.404055739971687,10.0,4.507246406138444,-3.984155987296632,7.396002897030584,1.176761698516053,-2.261011615099371,10.0,-2.167160791302285,,7.47934814515408,6.92126406467914
2019-09-17,-6.537849176763155,10.0,10.0,-4.205281419006209,10.0,6.894773429502109,-3.395605781631372,7.139866040237777,2.890507142698596,-2.501328909370224,8.251564130381745,-0.3267917768100816,,6.789326900030365,6.21854991553708
2019-09-18,-6.416443155980406,10.0,10.0,-4.745310341517976,8.602271360123915,6.164684434059609,-3.776181145483515,6.329935754666534,2.420302467790627,-2.549625179372729,9.03165863486698,-1.363148747929898,,7.541464644378828,6.954331154615476
2019-09-19,-6.073366392170279,10.0,10.0,-5.406684935952841,7.536116091368516,6.186386075107912,-3.803081201421209,5.407081425228295,2.565766929376146,-2.793731687485251,8.97599837296477,-1.917751445703546,,7.429147835722063,6.921860196194704
2019-09-20,-6.335787000048622,10.0,10.0,-5.899960775750497,9.241801485292916,7.677718520319691,-3.819251338024574,7.760271893287792,3.952510871044124,-2.780544490154639,7.448192084331345,-1.456281131283425,,7.076600386847137,6.487805785723605
2019-09-23,-7.104174727060447,10.0,10.0,-5.841634523649758,8.397343538527416,8.376944443838461,-3.73172983211033,6.54845917310083,4.553783570533098,-3.761128228062458,7.514801849103836,-1.440970872540139,,6.764548773441216,6.371713670067804
2019-09-24,-7.653303740930127,9.928823451336967,10.0,-6.363030598824643,8.316559357514903,7.572981158362742,-4.330963283581683,6.58099540318982,4.070575167868026,-3.934645953322828,7.404567202471505,-1.430552449828512,,7.890222393290671,7.519162218356978
2019-09-25,-7.597129540077353,10.0,10.0,-4.355098151844344,6.959136581446113,9.703693509470193,-3.680917335762929,5.763354753688706,5.437097519129196,-4.036850356956711,6.107042420599663,-0.4317608842172697,,6.565546406128647,6.28223080116242
2019-09-26,-7.397904379136585,9.364967773145185,10.0,-4.40385778435821,6.74543836306933,8.180735169808722,-4.190760444200851,5.357468192503817,3.728880481442495,-4.028748587836426,5.842541630296292,1.280802103432699,,8.006903915347914,7.647350260034983
2019-09-27,-5.559454740346236,7.592118841724593,10.0,-2.97767802144493,5.862440536700399,8.134007683438794,-2.864414772361308,4.993279851242644,4.179351281366199,-2.798465259206514,5.793514370321731,1.294091937749983,,6.659988445813635,6.378873137591309
2019-09-30,-6.743473054301773,7.740488193051725,10.0,-3.857781704915898,5.69992370978598,8.81627513020203,-3.483480095779774,5.452508996706159,4.788025682887192,-3.230377404316196,5.678958876904492,1.306966725499547,,6.446597765649692,6.241332348524437
2019-10-01,-5.478755807640817,8.811140249857697,10.0,-4.016232728870607,7.776997337464879,8.043258950786887,-3.656462464526458,7.253652788185248,4.778178888237992,-4.621444127507863,6.13546971770054,1.355003654013493,,7.151885063767295,6.862923413437317
2019-10-02,-3.462815840691295,5.245628613086008,10.0,-1.345894300763398,5.879738312111079,8.031530638382835,-1.199511875031015,5.116551489615174,4.926689687280249,-0.4408847171052313,5.338552036228431,1.450769944792967,,3.912687908608501,3.639777499540387
2019-10-04,-3.43039860653005,1.839213816186567,10.0,-0.8050035421839032,0.613653619332922,8.724674900894376,-1.058336259229644,1.066144013659915,5.228797861079508,-0.4475481214297343,9.550260197178044,1.005211083515148,,3.090419795552949,3.146164483416945
2019-10-07,-2.31929379713867,2.085995779489659,7.687477772110589,-0.9851400279244458,1.391422282156551,5.946735304324744,-0.7016113385428159,1.320630948181913,3.536409116672962,-1.694778201902086,9.453006800732908,5.599567592401696,,3.564801525321151,3.572741609815556
2019-10-08,-2.806953109803846,2.57302319836524,7.076519100539746,-2.705772156421707,3.395971323031464,6.061984559852051,-1.475238740432507,2.844927747946603,3.854392563033098,-0.857879659573868,9.579711317380797,5.593867011680079,,3.601753411771528,3.543184993233099
2019-10-10,-1.825798560156202,2.575976849130874,5.92935620702241,-1.829339558122641,3.951752677253405,5.497701524961252,-1.171597007863543,2.659988333959759,3.401450237765614,-0.4746755193750152,9.448802985288195,5.85395272010719,,2.296133131187044,2.224372066047493
2019-10-11,-1.735624412086103,4.933846182280836,5.905046843619881,-2.669174435047525,5.842095981516091,7.032806422957201,-1.732421294520364,4.437181696137095,3.86327886925846,-0.5896251992343423,9.313276762366227,5.980867460211201,,2.542890432335395,2.425540475436725
2019-10-14,-2.226163537437393,4.574909899735315,6.969318716407092,-3.879281727586428,5.964233203363733,7.112358986669759,-2.192587874240358,4.553238683992144,3.717540295478126,-0.109708835199205,9.167665389647919,5.01040776875409,,2.777577607165858,2.588683458351803
2019-10-15,-1.706759838964869,3.741943683783555,5.288221943207459,-3.989264345182058,5.399415810457463,6.532257700187923,-1.697804399388155,3.941279215462493,3.721739716175864,-0.3965394669016764,9.087104328803573,4.559895547234577,,2.478648737848827,2.335443665485281
2019-10-16,-1.899075953135388,0.9227695064795162,6.343091730155884,-4.604133163399121,7.184549014285764,7.299716033652751,-1.93783181260707,4.716680564943605,4.487912118437439,-0.2898486291293531,4.730190593720033,4.573946795995063,,2.361898908040805,2.170370741469235
2019-10-17,-1.647392934385999,3.108300648398262,3.604592852750998,-4.138087595988876,10.0,6.043204268634389,-1.527922592727223,5.903358102469411,3.561911538630635,-0.1931549963539606,6.255360231616192,3.344083319468306,,1.74171743736523,1.634492483979083
2019-10-18,-0.3593106723124061,4.83198233186733,5.238596574510713,-2.911597379700158,10.0,7.512373210297928,-0.4958696847558214,5.991669992826863,4.181883798686255,0.344621796212359,5.835281488514347,4.243931740274249,,1.003209715117222,0.8441284966029634
2019-10-21,-0.2775902789187843,6.885098650576346,5.786250917754625,-3.582110251783418,10.0,8.246007762092265,-0.9360296397736587,8.325704514054543,4.795675444163185,0.2578167983330191,6.179888550444948,4.50576326642787,,1.152887161794532,0.8514569818979987
2019-10-22,-0.8939011594497915,5.811165041732544,5.232654877385819,-5.151327933791775,10.0,8.93507529515798,-1.886093779599415,9.081755432176863,5.702897343987794,1.192233839568145,5.805325369064011,3.788089226477994,,1.693059321774007,1.368248268847727
