combo_id,combo_name,year_month,return_year_month,hsi_state,state_kr,allocation_rule_name,turnover,weight_069500,weight_114260,weight_153130
EW,Equal Weight,2025-02,2025-03,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-03,2025-04,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-04,2025-05,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-05,2025-06,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-06,2025-07,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-07,2025-08,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-08,2025-09,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-09,2025-10,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-10,2025-11,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-11,2025-12,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2025-12,2026-01,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2026-01,2026-02,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2026-02,2026-03,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2026-03,2026-04,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2026-04,2026-05,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2026-05,2026-06,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
EW,Equal Weight,2026-06,2026-07,EW,동일가중,equal_weight,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
combo_00_core5,기본 5개 HSI 점수,2012-03,2012-04,insufficient_data,자료 부족,final_baseline_state_target_weights_v1,0.0,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2012-04,2012-05,insufficient_data,자료 부족,final_baseline_state_target_weights_v1,0.0,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2012-05,2012-06,insufficient_data,자료 부족,final_baseline_state_target_weights_v1,0.0,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2012-06,2012-07,insufficient_data,자료 부족,final_baseline_state_target_weights_v1,0.0,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2012-07,2012-08,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.19999999999999996,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2012-08,2012-09,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2012-09,2012-10,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2012-10,2012-11,neutral_watch,중립 관찰,final_baseline_state_target_weights_v1,0.19999999999999996,0.5,0.35,0.15
combo_00_core5,기본 5개 HSI 점수,2012-11,2012-12,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.19999999999999996,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2012-12,2013-01,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
combo_00_core5,기본 5개 HSI 점수,2013-01,2013-02,risk_relief,위험 완화 우세,final_baseline_state_target_weights_v1,0.0,0.7,0.2,0.1
