Date,signal_date,method,strategy,069500_weight,114260_weight,153130_weight,rule_signal,rule_description,strategy_return,cumulative_return,portfolio_value
2014-05-31,2014-04-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.008550089929545066,0.03623144737688011,1.03623144737688
2014-06-30,2014-05-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.0028531464179251333,0.03918796741910491,1.039187967419105
2014-07-31,2014-06-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.015966848898589802,0.05578052467211836,1.0557805246721184
2014-08-31,2014-07-31,rank,EW_HSI_overlay,0.5,0.25,0.25,buy,위험자산 비중 확대,-0.0082578027610862,0.047062097340379916,1.04706209734038
2014-09-30,2014-08-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.007346750431157199,0.03936959342529622,1.0393695934252962
2014-10-31,2014-09-30,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.0004539245919208152,0.03984138884384669,1.0398413888438467
2014-11-30,2014-10-31,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.003905084660338737,0.04390205750060616,1.0439020575006062
2014-12-31,2014-11-30,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,-0.007306045314910066,0.036275261764178834,1.0362752617641788
2015-01-31,2014-12-31,rank,EW_HSI_overlay,0.15,0.425,0.425,caution,위험자산 비중 축소,0.007956184989596223,0.04452005944691684,1.0445200594469168
2015-02-28,2015-01-31,rank,EW_HSI_overlay,0.3333333333333333,0.3333333333333333,0.3333333333333333,watch,기본 동일비중 유지,0.0011007385482829,0.045669802940804693,1.0456698029408047
