Date,signal_date,method,strategy,strategy_return,cumulative_return,portfolio_value
2021-06-30,2021-05-31,rank,EW_HSI_overlay,0.0076107497691589,0.4394321459635213,1.439432145963521
2021-07-31,2021-06-30,rank,EW_HSI_overlay,-0.0086087095984755,0.4270404926322109,1.4270404926322109
2021-08-31,2021-07-31,rank,EW_HSI_overlay,-0.0009184127349014,0.4257298804705574,1.4257298804705574
2021-09-30,2021-08-31,rank,EW_HSI_overlay,-0.0088630448934971,0.4130935725339464,1.4130935725339464
2021-10-31,2021-09-30,rank,EW_HSI_overlay,-0.0099932448690351,0.398972182440755,1.398972182440755
2021-11-30,2021-10-31,rank,EW_HSI_overlay,-0.0007432238599557,0.3979324329353506,1.3979324329353506
2021-12-31,2021-11-30,rank,EW_HSI_overlay,0.0115061398403271,0.4140172389960335,1.4140172389960337
2022-01-31,2021-12-31,rank,EW_HSI_overlay,-0.0325746285527598,0.3679561526685386,1.3679561526685386
2022-02-28,2022-01-31,rank,EW_HSI_overlay,0.002214719262065,0.3709857915095143,1.3709857915095145
2022-03-31,2022-02-28,rank,EW_HSI_overlay,-0.0019815134925732,0.3682691646655118,1.368269164665512
2022-04-30,2022-03-31,rank,EW_HSI_overlay,-0.0119962798259622,0.3518550248889487,1.3518550248889487
2022-05-31,2022-04-30,rank,EW_HSI_overlay,0.0002517538692262,0.3521953596220972,1.3521953596220972
2022-06-30,2022-05-31,rank,EW_HSI_overlay,-0.04718608738698,0.2883905512187001,1.2883905512187002
2022-07-31,2022-06-30,rank,EW_HSI_overlay,0.0162097221233156,0.309275004040261,1.309275004040261
2022-08-31,2022-07-31,rank,EW_HSI_overlay,-0.0065190366785039,0.3007397922666741,1.300739792266674
2022-09-30,2022-08-31,rank,EW_HSI_overlay,-0.043957409242405,0.243562640900127,1.243562640900127
2022-10-31,2022-09-30,rank,EW_HSI_overlay,0.0116575393341426,0.2580595213008907,1.2580595213008907
2022-11-30,2022-10-31,rank,EW_HSI_overlay,0.0406876641804462,0.3092470246225944,1.3092470246225945
2022-12-31,2022-11-30,rank,EW_HSI_overlay,-0.0383037000192778,0.2590980193403185,1.2590980193403185
2023-01-31,2022-12-31,rank,EW_HSI_overlay,0.0359255847036093,0.3043318518842759,1.304331851884276
2023-02-28,2023-01-31,rank,EW_HSI_overlay,-0.0060694939838824,0.296415217556278,1.296415217556278
2023-03-31,2023-02-28,rank,EW_HSI_overlay,0.0162505813909641,0.3174827185656608,1.3174827185656608
