apply_date,strategy_return_gross,turnover,w_069500,lambda
2023-07-31,0.011768181834082129,0.000261278870243159,0.6998880233413244,0.7
2023-08-31,-0.013671670090149145,0.13992161633892702,0.5599664070023973,0.7
2023-09-30,-0.014259812577661074,0.09802351509832186,0.6579899221007192,0.7
2023-10-31,-0.022182099436736335,0.3205929454705034,0.3373969766302158,0.7
2023-11-30,0.019071680453584226,0.2952943572171426,0.10121909298906476,0.7
2023-12-31,0.038230081399475625,0.4191466349076547,0.5203657278967194,0.7
2024-01-31,-0.0397595712777944,0.12574399047229637,0.6461097183690158,0.7
2024-02-29,0.02011022791473554,0.312276802858311,0.33383291551070476,0.7
2024-03-31,0.03623185802210461,0.25631695914250663,0.5901498746532114,0.7
2024-04-30,-0.015517011418198593,0.07689508774275194,0.6670449623959633,0.7
2024-05-31,-0.002947268255149365,0.32693147367717434,0.34011348871878905,0.7
2024-06-30,0.02222279638689861,0.09807944210315234,0.2420340466156367,0.7
2024-07-31,-0.0014872938208134031,0.3205761673690542,0.5626102139846909,0.7
2024-08-31,-0.022978970678242137,0.05692156871045054,0.5187830641954073,0.7
2024-09-30,-0.0034631509575854405,0.38107167432364986,0.15563491925862222,0.7
2024-10-31,0.0002719878956802023,0.114321502297095,0.04669047577758668,0.7
2024-11-30,0.00480414976577489,0.034296450689128496,0.014007142733276003,0.7
2024-12-31,0.000902118869811823,0.01028893520673857,0.004202142819982801,0.7
2025-01-31,0.003641113353645883,0.003086680562021549,0.0012606428459948403,0.7
2025-02-28,0.00600407117620023,0.48911755000780355,0.4903781928537984,0.7
2025-03-31,0.0021759792121753218,0.09072219874941806,0.49711345785613953,0.7
2025-04-30,0.011383117253552944,0.027216659624825446,0.49913403735684186,0.7
2025-05-31,0.032418379419966066,0.008164997887447623,0.4997402112070526,0.7
2025-06-30,0.09859084871261924,0.14018185215506318,0.6399220633621158,0.7
2025-07-31,0.039978393664325575,0.04205455564651895,0.6819766190086347,0.7
2025-08-31,-0.010761848992825446,0.012616366693955702,0.6945929857025904,0.7
2025-09-30,0.0712164072206889,0.0037849100081867107,0.6983778957107771,0.7
2025-10-31,0.15624918847136499,0.0011354730024559848,0.6995133687132331,0.7
2025-11-30,-0.031057301953791323,0.0003406419007368072,0.6998540106139699,0.7
2025-12-31,0.018206625632314972,0.48989780742977884,0.209956203184191,0.7
