Date,ticker,return_from_price,return_existing_decimal,diff,abs_diff
2014-03-31,114260,0.0026054108999686854,0.002605,4.108999686852459e-07,4.108999686852459e-07
2019-04-30,069500,0.028087590513330873,0.028088,-4.0948666912496434e-07,4.0948666912496434e-07
2025-02-28,069500,0.010016409422912265,0.010016,4.0942291226406247e-07,4.0942291226406247e-07
2024-03-31,069500,0.059020591044793846,0.059021,-4.0895520615064074e-07,4.0895520615064074e-07
2019-01-31,153130,0.001599406921239943,0.001599,4.069212399431584e-07,4.069212399431584e-07
2024-07-31,114260,0.006895405832017865,0.006895,4.0583201786452416e-07,4.0583201786452416e-07
2024-12-31,153130,0.0021034021594137364,0.002103,4.0215941373659275e-07,4.0215941373659275e-07
2015-08-31,069500,-0.0471095978682079,-0.04711,4.021317921015788e-07,4.021317921015788e-07
2020-05-31,069500,0.03698659924644532,0.036987,-4.007535546815544e-07,4.007535546815544e-07
2016-01-31,114260,0.00341360074407393,0.003414,-3.992559260697186e-07,3.992559260697186e-07
2026-04-30,114260,0.0018773977634478634,0.001877,3.977634478633755e-07,3.977634478633755e-07
2025-04-30,114260,0.010283602474491893,0.010284,-3.9752550810671916e-07,3.9752550810671916e-07
2024-09-30,153130,0.0032493952540453286,0.003249,3.952540453284331e-07,3.952540453284331e-07
2022-11-30,114260,0.019128394838942464,0.019128,3.9483894246489237e-07,3.9483894246489237e-07
2013-03-31,069500,-0.018477609367016146,-0.018478,3.90632983855721e-07,3.90632983855721e-07
2014-05-31,069500,0.01900861089075767,0.019009,-3.8910924233040434e-07,3.8910924233040434e-07
2021-09-30,069500,-0.042634386012524894,-0.042634,-3.8601252489584015e-07,3.8601252489584015e-07
2020-01-31,153130,0.001574384204824586,0.001574,3.8420482458586917e-07,3.8420482458586917e-07
2020-02-29,114260,0.005855619646914834,0.005856,-3.803530851664849e-07,3.803530851664849e-07
2013-04-30,069500,-0.02899162135855915,-0.028992,3.786414408506189e-07,3.786414408506189e-07
2022-09-30,153130,0.0013996232881998694,0.0014,-3.7671180013062154e-07,3.7671180013062154e-07
2018-04-30,069500,0.025257624731974238,0.025258,-3.752680257616825e-07,3.752680257616825e-07
2014-03-31,153130,0.001990625105320998,0.001991,-3.7489467900235843e-07,3.7489467900235843e-07
2023-06-30,069500,-0.00029437283939337533,-0.000294,-3.7283939337533906e-07,3.7283939337533906e-07
2021-01-31,114260,0.0011196279390233155,0.00112,-3.7206097668442475e-07,3.7206097668442475e-07
2017-02-28,114260,0.0013513707850283385,0.001351,3.7078502833852965e-07,3.7078502833852965e-07
2016-03-31,153130,0.0011466296876583293,0.001147,-3.7031234167072755e-07,3.7031234167072755e-07
2024-01-31,069500,-0.06208537026536076,-0.062085,-3.7026536076067984e-07,3.7026536076067984e-07
2021-04-30,153130,0.0004866299320982481,0.000487,-3.7006790175190055e-07,3.7006790175190055e-07
2016-08-31,114260,-0.0016856299434651056,-0.001686,3.700565348943585e-07,3.700565348943585e-07
2024-11-30,114260,0.011713630406291031,0.011714,-3.695937089692042e-07,3.695937089692042e-07
2016-11-30,114260,-0.007681369466534638,-0.007681,-3.694665346373749e-07,3.694665346373749e-07
2014-04-30,069500,-0.009276630732583557,-0.009277,3.692674164432197e-07,3.692674164432197e-07
2017-09-30,153130,0.0008916316516760503,0.000892,-3.683483239497014e-07,3.683483239497014e-07
2013-12-31,153130,0.0021306319177762933,0.002131,-3.6808222370673244e-07,3.6808222370673244e-07
2018-02-28,069500,-0.059783633104180556,-0.059784,3.668958194411043e-07,3.668958194411043e-07
