Date,lambda_0.1,lambda_0.3,lambda_0.5,lambda_0.7,lambda_1.0
2025-09-30,0.049505785904568694,0.06441796142076628,0.06995557805091748,0.0712126223106807,0.07138599999999999
2025-10-31,0.11360637500123405,0.14582336553618594,0.15482655413702662,0.15624805299836253,0.15635839999999998
2025-11-30,-0.023860236553017722,-0.029724805044929182,-0.030931203334322983,-0.031057642595692058,-0.031062999999999993
2025-12-31,0.042625112632467974,0.04200155780145546,0.030812144297092676,0.017716727824885193,-0.0021681
2026-01-31,0.13433643172285692,0.14503680867011498,0.1415191876815317,0.14913693523256868,0.18845829999999997
2026-02-28,0.11463887271487937,0.12917632443293223,0.13476936964023997,0.1441716625249842,0.1537535
2026-03-31,-0.10912468003251642,-0.1255592774423294,-0.13265378955459237,-0.13871658150425684,-0.1413022
2026-04-30,0.1603491358259186,0.14439434079040636,0.10945999214273752,0.06927584282765213,0.0014457999999999997
2026-05-31,0.17654934902786024,0.17991304031434982,0.17987038266881797,0.19287097957784233,0.24411069999999999
2026-06-30,0.016236270688696142,0.017325559187278634,0.018232488596719585,0.01945258164546975,0.0206837
